id,key,value,type
72571146,created_by,Merkaartor 0.12,regular
72581840,created_by,Merkaartor 0.12,regular
72584952,created_by,Merkaartor 0.12,regular
72588999,created_by,Merkaartor 0.12,regular
72608461,created_by,Merkaartor 0.12,regular
72628919,created_by,Merkaartor 0.12,regular
72635306,created_by,Merkaartor 0.12,regular
72640710,created_by,Merkaartor 0.12,regular
72647776,created_by,Merkaartor 0.12,regular
72655975,created_by,Merkaartor 0.12,regular
72663545,created_by,Merkaartor 0.12,regular
72676668,created_by,Merkaartor 0.12,regular
72708061,created_by,Merkaartor 0.12,regular
72721994,created_by,Merkaartor 0.12,regular
72777943,created_by,Merkaartor 0.12,regular
72784985,created_by,Merkaartor 0.12,regular
72800975,created_by,Merkaartor 0.12,regular
72816643,created_by,Merkaartor 0.12,regular
72823706,created_by,Merkaartor 0.12,regular
72835684,created_by,Merkaartor 0.12,regular
72855439,created_by,Merkaartor 0.12,regular
72863019,created_by,Merkaartor 0.12,regular
72868387,created_by,Merkaartor 0.12,regular
72869056,created_by,Merkaartor 0.12,regular
72873613,created_by,Merkaartor 0.12,regular
72874707,created_by,Merkaartor 0.12,regular
72881462,created_by,Merkaartor 0.12,regular
72889198,created_by,Merkaartor 0.12,regular
72889962,created_by,Merkaartor 0.12,regular
72899940,created_by,Merkaartor 0.12,regular
72909268,created_by,Merkaartor 0.12,regular
72922967,created_by,Merkaartor 0.12,regular
72932025,created_by,Merkaartor 0.12,regular
72942993,created_by,Merkaartor 0.12,regular
72953841,created_by,Merkaartor 0.12,regular
72954659,created_by,Merkaartor 0.12,regular
72956183,created_by,Merkaartor 0.12,regular
72956708,created_by,Merkaartor 0.12,regular
72978847,created_by,Merkaartor 0.12,regular
73001551,created_by,Merkaartor 0.12,regular
73004043,created_by,Merkaartor 0.12,regular
73015996,created_by,Merkaartor 0.12,regular
73018313,created_by,Merkaartor 0.12,regular
73034534,created_by,Merkaartor 0.12,regular
73048405,created_by,Merkaartor 0.12,regular
73066950,created_by,Merkaartor 0.12,regular
73067416,created_by,Merkaartor 0.12,regular
73079016,created_by,Merkaartor 0.12,regular
73081506,created_by,Merkaartor 0.12,regular
73090300,created_by,Merkaartor 0.12,regular
73093922,created_by,Merkaartor 0.12,regular
73095272,created_by,Merkaartor 0.12,regular
73098583,created_by,Merkaartor 0.12,regular
73100435,created_by,Merkaartor 0.12,regular
73111729,created_by,Merkaartor 0.12,regular
73120226,created_by,Merkaartor 0.12,regular
73141265,created_by,Merkaartor 0.12,regular
73141999,created_by,Merkaartor 0.12,regular
73143731,created_by,Merkaartor 0.12,regular
73153966,created_by,Merkaartor 0.12,regular
73156007,created_by,Merkaartor 0.12,regular
73156559,created_by,Merkaartor 0.12,regular
73160017,created_by,Merkaartor 0.12,regular
73192365,created_by,Merkaartor 0.12,regular
73204259,created_by,Merkaartor 0.12,regular
73212434,created_by,Merkaartor 0.12,regular
73213385,created_by,Merkaartor 0.12,regular
73216662,created_by,Merkaartor 0.12,regular
73237273,created_by,Merkaartor 0.12,regular
73256669,created_by,Merkaartor 0.12,regular
73263798,created_by,Merkaartor 0.12,regular
73266243,created_by,Merkaartor 0.12,regular
73267502,created_by,Merkaartor 0.12,regular
73297254,created_by,Merkaartor 0.12,regular
73322050,created_by,Merkaartor 0.12,regular
73327853,created_by,Merkaartor 0.12,regular
73354943,created_by,Merkaartor 0.12,regular
73357551,created_by,Merkaartor 0.12,regular
73369882,created_by,Merkaartor 0.12,regular
73378430,created_by,Merkaartor 0.12,regular
73381094,created_by,Merkaartor 0.12,regular
73383582,created_by,Merkaartor 0.12,regular
73386101,created_by,Merkaartor 0.12,regular
73404732,created_by,Merkaartor 0.12,regular
73409825,created_by,Merkaartor 0.12,regular
73410646,created_by,Merkaartor 0.12,regular
73431823,created_by,Merkaartor 0.12,regular
73436027,created_by,Merkaartor 0.12,regular
73445581,created_by,Merkaartor 0.12,regular
73446423,created_by,Merkaartor 0.12,regular
73466508,created_by,Merkaartor 0.12,regular
73486677,created_by,Merkaartor 0.12,regular
73505772,created_by,Merkaartor 0.12,regular
73508726,created_by,Merkaartor 0.12,regular
73548297,created_by,Merkaartor 0.12,regular
73560758,created_by,Merkaartor 0.12,regular
73571351,created_by,Merkaartor 0.12,regular
73599478,created_by,Merkaartor 0.12,regular
73641974,created_by,Merkaartor 0.12,regular
73652360,created_by,Merkaartor 0.12,regular
73664628,created_by,Merkaartor 0.12,regular
73669261,created_by,Merkaartor 0.12,regular
73675514,created_by,Merkaartor 0.12,regular
73752101,created_by,Merkaartor 0.12,regular
73764025,created_by,Merkaartor 0.12,regular
73765234,created_by,Merkaartor 0.12,regular
73774837,created_by,Merkaartor 0.12,regular
73775078,created_by,Merkaartor 0.12,regular
73797931,created_by,Merkaartor 0.12,regular
73799441,note,Point 1 (eastern corner of pier base),regular
73799441,source,Order of the State Council of the People's Republic of China No. 221,regular
73802079,created_by,Merkaartor 0.12,regular
73806568,created_by,Merkaartor 0.12,regular
73808596,created_by,Merkaartor 0.12,regular
73811446,created_by,Merkaartor 0.12,regular
73815661,created_by,Merkaartor 0.12,regular
73816867,created_by,Merkaartor 0.12,regular
73826154,created_by,Merkaartor 0.12,regular
73838065,created_by,Merkaartor 0.12,regular
73846330,created_by,Merkaartor 0.12,regular
73855029,created_by,Merkaartor 0.12,regular
73855334,created_by,Merkaartor 0.12,regular
73859412,created_by,Merkaartor 0.12,regular
73868240,created_by,Merkaartor 0.12,regular
73887116,created_by,Merkaartor 0.12,regular
73895223,created_by,Merkaartor 0.12,regular
73909954,created_by,Merkaartor 0.12,regular
73915710,created_by,Merkaartor 0.12,regular
73933518,created_by,Merkaartor 0.12,regular
73956965,created_by,Merkaartor 0.12,regular
73978931,created_by,Merkaartor 0.12,regular
73979451,created_by,Merkaartor 0.12,regular
73983433,created_by,Merkaartor 0.12,regular
73992956,created_by,Merkaartor 0.12,regular
243844812,ref,LOW,regular
243844812,name,羅湖 Lo Wu,regular
243844812,subway,yes,regular
243844812,en,Lo Wu,name
243844812,zh,羅湖,name
243844812,network,MTR,regular
243844812,railway,stop,regular
243844812,operator,香港鐵路有限公司 MTR Corporation,regular
243844812,public_transport,stop_position,regular
243844834,ref,SHS,regular
243844834,name,上水 Sheung Shui,regular
243844834,subway,yes,regular
243844834,en,Sheung Shui,name
243844834,zh,上水,name
243844834,network,MTR,regular
243844834,railway,stop,regular
243844834,operator,香港鐵路有限公司 MTR Corporation,regular
243844834,public_transport,stop_position,regular
243844839,ref,FAN,regular
243844839,name,粉嶺 Fanling,regular
243844839,subway,yes,regular
243844839,en,Fanling,name
243844839,zh,粉嶺,name
243844839,network,MTR,regular
243844839,railway,stop,regular
243844839,operator,香港鐵路有限公司 MTR Corporation,regular
243844839,en,Fan Ling,old_name
243844839,public_transport,stop_position,regular
243844884,ref,TAP,regular
243844884,name,大埔墟 Tai Po Market,regular
243844884,subway,yes,regular
243844884,en,Tai Po Market,name
243844884,zh,大埔墟,name
243844884,network,MTR,regular
243844884,railway,stop,regular
243844884,operator,香港鐵路有限公司 MTR Corporation,regular
243844884,public_transport,stop_position,regular
244076495,ADM1,30,gns
244076495,DSG,ADM3,gns
244076495,UFI,-1898061,gns
244076495,UNI,6722142,gns
244076495,name,宝安区,regular
244076495,en,Baoan District,name
244076495,ru,Баоань,name
244076495,vi,Bảo An,name
244076495,zh,宝安区,name
244076495,zh_pinyin,Bao'an Qu,name
244076495,place,suburb,regular
244076495,population,2600000,regular
244080678,name,惠阳区,regular
244080678,place,suburb,regular
244080678,DSG,ADM3,gns
244080678,UFI,-1910983,gns
244080678,UNI,6722098,gns
244080678,en,Huiyang,name
244080678,vi,Huệ Dương,name
244080678,zh,惠阳区,name
244080678,ADM1,30,gns
244080678,zh_pinyin,Huiyang Qu,name
244081625,name,深圳市,regular
244081625,DSG,ADM2,gns
244081625,UFI,-1925270,gns
244081625,UNI,6722050,gns
244081625,de,Shenzhen,name
244081625,en,Shenzhen,name
244081625,fr,Shenzhen,name
244081625,ru,Шеньчжень,name
244081625,sr,Шенџен,name
244081625,vi,Thâm Quyến,name
244081625,zh,深圳市,name
244081625,ADM1,30,gns
244081625,wikipedia,en:Shenzhen,regular
244081625,country,China,is_in
244081625,zh_pinyin,Shēnzhèn Shì,name
244081625,continent,Asia,is_in
244081625,country_code,CN,is_in
244084484,name,南头,regular
244084484,place,neighbourhood,regular
244084513,name,盐田区,regular
244084513,place,suburb,regular
244084513,DSG,ADM3,gns
244084513,UFI,6402139,gns
244084513,UNI,6721955,gns
244084513,en,Yantian District,name
244084513,ru,Яньтянь,name
244084513,vi,Diêm Điền,name
244084513,zh,盐田区,name
244084513,ADM1,30,gns
244084513,zh_pinyin,yántián qū,name
244084514,name,龙岗区,regular
244084514,place,suburb,regular
244084514,DSG,ADM3,gns
244084514,UFI,6402140,gns
244084514,UNI,6721957,gns
244084514,en,Longgang District,name
244084514,ru,Лунган,name
244084514,vi,Long Cương,name
244084514,zh,龙岗区,name
244084514,ADM1,30,gns
244084514,zh_pinyin,lónggǎng qū,name
244085031,ADM1,30,gns
244085031,DSG,ADM3,gns
244085031,UFI,6402168,gns
244085031,UNI,6722013,gns
244085031,name,罗湖区,regular
244085031,en,Luohu District,name
244085031,ru,Лоху,name
244085031,vi,La Hồ,name
244085031,zh,罗湖区,name
244085031,zh_pinyin,Luohu Qu,name
244085031,place,suburb,regular
244085031,population,900000,regular
249978770,name,深涌 Sham Chung,regular
249978770,place,hamlet,regular
249978770,en,Sham Chung,name
249978770,zh,深涌,name
249981049,bus,yes,regular
249981049,public_transport,stop_position,regular
249981058,bus,yes,regular
249981058,public_transport,stop_position,regular
250001465,name,榕樹澳 Yung Shue O,regular
250001465,place,hamlet,regular
250001465,en,Yung Shu O,name
250001465,zh,榕樹澳,name
250824308,created_by,JOSM,regular
250824311,created_by,JOSM,regular
250824312,created_by,JOSM,regular
250824313,created_by,JOSM,regular
250824314,created_by,JOSM,regular
250824321,created_by,JOSM,regular
250824322,created_by,JOSM,regular
250824323,created_by,JOSM,regular
250824328,created_by,JOSM,regular
250824329,created_by,JOSM,regular
250824330,created_by,JOSM,regular
250824331,created_by,JOSM,regular
250824332,created_by,JOSM,regular
250824333,created_by,JOSM,regular
250824334,created_by,JOSM,regular
250824335,created_by,JOSM,regular
250824336,created_by,JOSM,regular
250824337,created_by,JOSM,regular
250824338,created_by,JOSM,regular
250824339,created_by,JOSM,regular
250824340,created_by,JOSM,regular
250824370,created_by,JOSM,regular
250824454,created_by,JOSM,regular
250824455,created_by,JOSM,regular
250824456,created_by,JOSM,regular
250824457,created_by,JOSM,regular
250824458,created_by,JOSM,regular
250824459,created_by,JOSM,regular
250824460,created_by,JOSM,regular
250824461,created_by,JOSM,regular
250824462,created_by,JOSM,regular
250824463,created_by,JOSM,regular
250824467,created_by,JOSM,regular
250824474,created_by,JOSM,regular
250824475,created_by,JOSM,regular
250824483,created_by,JOSM,regular
250824488,created_by,JOSM,regular
250824489,created_by,JOSM,regular
250824491,created_by,JOSM,regular
250824492,created_by,JOSM,regular
250824493,created_by,JOSM,regular
250824494,created_by,JOSM,regular
250824495,created_by,JOSM,regular
250824498,created_by,JOSM,regular
250824500,created_by,JOSM,regular
250824501,created_by,JOSM,regular
250824502,created_by,JOSM,regular
250824503,created_by,JOSM,regular
250824504,created_by,JOSM,regular
250824505,created_by,JOSM,regular
250824506,created_by,JOSM,regular
250824507,created_by,JOSM,regular
250824508,created_by,JOSM,regular
250824509,created_by,JOSM,regular
250824510,created_by,JOSM,regular
250824511,created_by,JOSM,regular
250824512,created_by,JOSM,regular
250824513,created_by,JOSM,regular
